ID;Rodzic;Typ;Nazwa;Numer umowy/decyzji;Program Operacyjny <Nazwa>;Oś priorytetowa <Kod>;Działanie <Kod>;Poddziałanie <Kod>;Wartość ogółem;Wydatki kwalifikowalne;Dofinansowanie;Dofinansowanie UE;Nazwa beneficjenta;NIP beneficjenta;Kod pocztowy;Miejscowość;Województwo;Powiat;Temat priorytetu;Forma prawna;Obszar realizacji;Ostatni Wniosek o płatność dla najbardziej aktualnej Umowy/Aneksu;Projekt zakończony (Wniosek o płatność końcową);Data podpisania Umowy/Aneksu;Data utworzenia w KSI SIMIK 07-13 Umowy/Aneksu
20-12-2;20-12;Projekt;Kampania na rzecz ograniczenia szkód wyrządzanych przez zwierzęta prawnie chronione (wilk, żubr, bóbr) na obszarze Zielonych Płuc Polski.;POIS.05.04.00-00-062/08-02;Program Operacyjny Infrastruktura i Środowisko;POIS.05.00.00;POIS.05.04.00;;24,517.71;24,517.71;20,840.06;20,840.06;Fundacja Zielone Płuca Polski;5422952234;15-554;Białystok;Podlaskie;Powiat m. Białystok;51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000);fundacja;00 Nie dotyczy;POIS.05.04.00-00-062/08-10;Nie;2011/01/12;2011/01/17
28-06;28;Powiat;Powiat giżycki;;;;;;28604.0;28604.0;24313.4;24313.4;;;;;;;;;;;;;
28-06-1;28-06;Projekt;Kampania na rzecz ograniczenia szkód wyrządzanych przez zwierzęta prawnie chronione (wilk, żubr, bóbr) na obszarze Zielonych Płuc Polski.;POIS.05.04.00-00-062/08-02;Program Operacyjny Infrastruktura i Środowisko;POIS.05.00.00;POIS.05.04.00;;28,604.00;28,604.00;24,313.40;24,313.40;Fundacja Zielone Płuca Polski;5422952234;15-554;Białystok;Podlaskie;Powiat m. Białystok;51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000);fundacja;00 Nie dotyczy;POIS.05.04.00-00-062/08-10;Nie;2011/01/12;2011/01/17
28-18;28;Powiat;Powiat gołdapski;;;;;;131039.98;131039.98;111383.98;111383.98;;;;;;;;;;;;;
28-18-1;28-18;Projekt;Kampania na rzecz ograniczenia szkód wyrządzanych przez zwierzęta prawnie chronione (wilk, żubr, bóbr) na obszarze Zielonych Płuc Polski.;POIS.05.04.00-00-062/08-02;Program Operacyjny Infrastruktura i Środowisko;POIS.05.00.00;POIS.05.04.00;;28,604.00;28,604.00;24,313.40;24,313.40;Fundacja Zielone Płuca Polski;5422952234;15-554;Białystok;Podlaskie;Powiat m. Białystok;51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000);fundacja;00 Nie dotyczy;POIS.05.04.00-00-062/08-10;Nie;2011/01/12;2011/01/17
28-10;28;Powiat;Powiat mrągowski;;;;;;28604.0;28604.0;24313.4;24313.4;;;;;;;;;;;;;
28-10-1;28-10;Projekt;Kampania na rzecz ograniczenia szkód wyrządzanych przez zwierzęta prawnie chronione (wilk, żubr, bóbr) na obszarze Zielonych Płuc Polski.;POIS.05.04.00-00-062/08-02;Program Operacyjny Infrastruktura i Środowisko;POIS.05.00.00;POIS.05.04.00;;28,604.00;28,604.00;24,313.40;24,313.40;Fundacja Zielone Płuca Polski;5422952234;15-554;Białystok;Podlaskie;Powiat m. Białystok;51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000);fundacja;00 Nie dotyczy;POIS.05.04.00-00-062/08-10;Nie;2011/01/12;2011/01/17
28-16;28;Powiat;Powiat piski;;;;;;152427.5;152427.5;129563.4;129563.4;;;;;;;;;;;;;
28-16-1;28-16;Projekt;Kampania na rzecz ograniczenia szkód wyrządzanych przez zwierzęta prawnie chronione (wilk, żubr, bóbr) na obszarze Zielonych Płuc Polski.;POIS.05.04.00-00-062/08-02;Program Operacyjny Infrastruktura i Środowisko;POIS.05.00.00;POIS.05.04.00;;28,604.00;28,604.00;24,313.40;24,313.40;Fundacja Zielone Płuca Polski;5422952234;15-554;Białystok;Podlaskie;Powiat m. Białystok;51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000);fundacja;00 Nie dotyczy;POIS.05.04.00-00-062/08-10;Nie;2011/01/12;2011/01/17
28-17;28;Powiat;Powiat szczycieński;;;;;;28604.0;28604.0;24313.4;24313.4;;;;;;;;;;;;;
